#NSGA2
popsize 100
maxGen 50
numVar 7
numObj 4
numCons 3
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 50
currentGen	1
evaluateCount	100
totalTime	3.13208
firstFrontCount	10
frontCount	4
avgEvalTime	0.0306342
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Obj1	Obj2	Obj3	Obj4	Cons1	Cons2	Cons3	
65.4005	54.7527	48.8494	11	10.385	2726.38	0.0693912	1	1	-1	-1	0	0	0	
68.5954	54.4525	47.5661	11	16.2491	2247.47	0.0608071	1	1	-1	-1	0	0	0	
76.6598	52.4868	47.1967	7	9.49966	2658.88	0.0929465	1	1	-1	-1	0	0	0	
75.1762	53.2424	45.6055	6	17.9327	2112.9	0.0518969	1	1	-1	-1	0	0	0	
79.1732	54.2	48.5202	7	9.61792	1999.11	0.0824638	1	1	-1	-1	0	0	0	
67.0851	52.9743	49.48	5	11.4283	2599.68	0.0876706	-7.3072	-94.7581	1.57208	2.31267	0	0	0	
78.3349	53.3537	46.7487	6	12.5065	2491.2	0.0659809	1	1	-1	-1	0	0	0	
79.6095	52.1854	48.7667	11	10.303	2185.39	0.0763502	1	1	-1	-1	0	0	0	
69.2352	54.3703	48.3011	6	16.3289	2759.02	0.0659167	1	1	-1	-1	0	0	0	
68.6566	52.8762	45.7523	5	15.5761	2923.77	0.076208	-5.30485	-115.546	2.13431	2.4194	0	0	0	
74.063	53.2902	46.5215	12	10.9869	2233.68	0.0635177	1	1	-1	-1	0	0	0	
70.7441	54.8568	48.6867	9	11.4896	2402.4	0.0680279	1	1	-1	-1	0	0	0	
66.2542	53.4836	45.3303	10	17.9065	2973.78	0.0896172	1	1	-1	-1	0	0	0	
75.6573	54.9718	48.3726	9	12.1718	2760.42	0.078507	1	1	-1	-1	0	0	0	
66.038	54.3406	49.8397	5	15.4121	2435.77	0.0702337	-9.9154	-164.465	2.13464	2.10063	0	0	0	
68.9661	54.8128	47.3671	11	18.1652	2639.23	0.0510392	1	1	-1	-1	0	0	0	
72.4483	52.196	45.0481	12	11.0557	1638.09	0.0530482	1	1	-1	-1	0	0	0	
71.5441	52.4353	49.4466	7	9.72404	2045.39	0.0938341	1	1	-1	-1	0	0	0	
75.4318	52.6682	47.9139	8	14.3324	2550.31	0.0808817	1	1	-1	-1	0	0	0	
65.114	53.9088	46.7942	9	16.5998	2385.78	0.0692254	1	1	-1	-1	0	0	0	
70.5594	52.6887	48.676	6	12.4041	2763.6	0.0700206	-6.24883	-97.2254	1.6961	2.05521	0	0	0	
78.9566	52.515	49.3356	9	19.7736	2435.62	0.0961661	1	1	-1	-1	0	0	0	
71.3887	52.7433	46.4237	4	10.6582	1633.59	0.0881302	1	1	-1	-1	0	0	0	
70.5702	53.206	46.145	7	15.5685	2157.69	0.072043	1	1	-1	-1	0	0	0	
79.1856	53.5545	49.5507	12	16.9509	2012.84	0.0678895	1	1	-1	-1	0	0	0	
75.0876	54.236	48.2234	5	15.0623	2770.79	0.0891366	-4.57644	-85.2779	2.03681	2.36115	0	0	0	
69.3938	52.6384	45.7927	11	18.0302	1968.79	0.0850029	1	1	-1	-1	0	0	0	
70.2726	54.3527	45.225	7	14.625	2297.93	0.0808146	1	1	-1	-1	0	0	0	
68.5496	54.0585	46.4968	9	19.7598	1580.05	0.0654613	1	1	-1	-1	0	0	0	
78.9147	52.8541	45.2383	6	10.9377	2989.84	0.0628139	1	1	-1	-1	0	0	0	
66.698	54.1077	48.631	8	10.0326	2477.89	0.0859116	1	1	-1	-1	0	0	0	
75.8839	53.0496	49.5233	10	15.1733	2901.2	0.0512667	1	1	-1	-1	0	0	0	
72.4311	52.031	46.5703	4	13.2741	1823.92	0.0859819	-3.49195	-56.8772	1.79468	2.37104	0	0	0	
70.7974	53.0018	48.8621	6	12.8761	2551.67	0.0525081	-6.52448	-102.939	1.76014	1.93566	0	0	0	
68.7956	54.8144	49.2886	11	18.6103	1826.49	0.0901696	1	1	-1	-1	0	0	0	
74.3486	53.5186	45.5489	9	12.3399	2201.25	0.0532887	1	1	-1	-1	0	0	0	
77.7961	52.6568	49.1125	9	17.2441	2637.39	0.0516242	1	1	-1	-1	0	0	0	
73.8862	53.0569	49.6841	6	12.1259	2895.2	0.0644503	1	1	-1	-1	0	0	0	
68.0874	54.5105	48.1899	9	10.5987	1669.39	0.0676781	1	1	-1	-1	0	0	0	
76.1694	53.1877	45.5249	6	16.1747	1903.29	0.0953769	1	1	-1	-1	0	0	0	
72.3128	54.8324	45.993	10	19.5506	2598.89	0.0651907	1	1	-1	-1	0	0	0	
74.5199	52.4201	47.5869	9	16.1474	2418.54	0.0769236	1	1	-1	-1	0	0	0	
77.0752	52.3382	48.04	8	13.2236	2519.79	0.0863348	1	1	-1	-1	0	0	0	



#Generation 2 / 50
currentGen	2
evaluateCount	200
totalTime	5.79621
firstFrontCount	13
frontCount	4
avgEvalTime	0.0259944
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Obj1	Obj2	Obj3	Obj4	Cons1	Cons2	Cons3	
66.3123	52.1689	49.2812	4	15.8781	1658.81	0.0888497	-9.12319	-116.268	2.17641	1.90624	0	0	0	
79.9801	53.764	49.8667	5	16.3738	2016.14	0.0531217	-5.73053	-80.6989	2.19278	1.81415	0	0	0	
74.881	54.9307	47.8773	5	19.9367	1728.83	0.0827098	-6.35767	-129.896	2.69332	1.59956	0	0	0	
70.8535	52.3942	49.0203	5	15.3606	2913.16	0.0992576	-7.55843	-108.852	2.09692	2.2078	0	0	0	
67.7822	53.4616	48.957	5	16.4692	2330.44	0.0641603	-8.73246	-147.202	2.26559	1.97111	0	0	0	
67.0851	52.9743	49.48	5	11.4283	2599.68	0.0876706	-7.3072	-94.7581	1.57208	2.31267	0	0	0	
68.6566	52.8762	45.7523	5	15.5761	2923.77	0.076208	-5.30485	-115.546	2.13431	2.4194	0	0	0	
66.038	54.3406	49.8397	5	15.4121	2435.77	0.0702337	-9.9154	-164.465	2.13464	2.10063	0	0	0	
70.5594	52.6887	48.676	6	12.4041	2763.6	0.0700206	-6.24883	-97.2254	1.6961	2.05521	0	0	0	
70.7974	53.0018	48.8621	6	12.8761	2551.67	0.0525081	-6.52448	-102.939	1.76014	1.93566	0	0	0	
65.6129	52.1875	47.8373	4	13.4879	1644.76	0.0865908	-6.97222	-95.1683	1.84917	2.05905	0	0	0	
69.1682	52.7207	48.9317	5	12.2773	2613.23	0.08203	-6.41079	-87.8513	1.6796	2.29236	0	0	0	
69.6536	52	48.9797	4	10.731	2794.11	0.1	-5.12836	-54.5204	1.46181	3.03724	0	0	0	
68.3762	52.2558	47.6554	5	15.7264	2565.38	0.0631099	-7.27998	-122.982	2.15729	2.10066	0	0	0	
70.1148	52.3811	46.1006	5	13.5494	2189.39	0.0773745	-4.24892	-84.8486	1.84613	2.14983	0	0	0	
75.0876	54.236	48.2234	5	15.0623	2770.79	0.0891366	-4.57644	-85.2779	2.03681	2.36115	0	0	0	
72.4311	52.031	46.5703	4	13.2741	1823.92	0.0859819	-3.49195	-56.8772	1.79468	2.37104	0	0	0	
68.6429	52.2558	47.6554	5	15.59	2653.47	0.0719463	-7.12386	-119.662	2.13731	2.14774	0	0	0	
68.4452	52.8151	47.4875	5	15.7425	2665.23	0.07103	-6.93305	-124.611	2.15981	2.18602	0	0	0	
73.1305	52.0124	48.0142	4	15.6643	1837.97	0.0882407	-5.87092	-76.1151	2.11839	2.06711	0	0	0	
75.6333	53.392	47.0717	5	15.8976	2311.18	0.0903953	-4.29024	-84.9928	2.14574	2.09708	0	0	0	
74.6207	52.8762	49.2023	4	15.6008	2152.93	0.0626351	-6.14393	-74.796	2.10732	2.25134	0	0	0	
78.9358	54.3047	49.5979	5	15.0405	2126.07	0.0581591	-4.72074	-73.0867	2.01738	2.00764	0	0	0	
76.779	54.2516	49.0274	4	19.9059	2157.83	0.0535	-6.45581	-98.6492	2.6809	2.10074	0	0	0	
78.8961	54.4343	49.6093	4	13.9725	2576	0.0574299	-3.59752	-51.6253	1.87407	2.88989	0	0	0	
76.6155	52.6403	48.201	4	14.2849	2846.5	0.051259	-4.0916	-56.3269	1.92421	2.94099	0	0	0	
75.108	54.6152	47.9049	4	15.8658	2682.93	0.0611255	-4.10373	-73.3494	2.14209	2.78837	0	0	0	
79.9404	53.8936	48.7573	4	15.3058	2466.07	0.0523925	-3.67694	-55.0132	2.04993	2.7103	0	0	0	
68.6105	54.3086	49.0347	6	17.3293	2220.88	0.0897817	1	1	-1	-1	0	0	0	
71.2747	53.7946	45.5231	7	19.3641	2742.91	0.0533659	1	1	-1	-1	0	0	0	
72.4027	53.4667	46.1128	10	17.9327	2300.81	0.0547632	1	1	-1	-1	0	0	0	
69.6054	52.4419	46.3749	9	10.1892	2266.69	0.0612759	1	1	-1	-1	0	0	0	
71.7947	52.78	46.2609	6	18.2746	2128.27	0.0793776	1	1	-1	-1	0	0	0	
73.076	53.4012	47.8782	7	11.1342	2569.13	0.0574025	1	1	-1	-1	0	0	0	
70.7432	52.8054	48.3712	8	14.0508	2772.53	0.072714	1	1	-1	-1	0	0	0	
74.3812	54.6502	49.4825	7	9	2448.71	0.0773643	1	1	-1	-1	0	0	0	
74.7066	53.9912	45.3156	10	14.8527	2630.13	0.083802	1	1	-1	-1	0	0	0	
70.427	54.1209	48.1633	10	12.3208	2636.08	0.0700206	1	1	-1	-1	0	0	0	
66.2002	52.875	47.5798	6	12.3595	2623.05	0.0612084	1	1	-1	-1	0	0	0	
70.2446	54.1297	46.0171	6	14.1602	2271.06	0.0734012	1	1	-1	-1	0	0	0	
70.8254	53.2247	48.07	7	13.8949	2578.54	0.0599215	1	1	-1	-1	0	0	0	
76.2062	52.6403	47.0446	10	15.6101	2015.93	0.0688741	1	1	-1	-1	0	0	0	
68.1364	54.8961	47.9279	11	18.7843	1841.79	0.0725076	1	1	-1	-1	0	0	0	
67.4775	54.8214	48.072	7	16.8938	1500	0.0799605	1	1	-1	-1	0	0	0	
71.3553	53.2408	49.3921	6	11.3819	2098.46	0.0553976	1	1	-1	-1	0	0	0	
70.7481	53.0976	49.0768	11	14.9029	2217.87	0.0920532	1	1	-1	-1	0	0	0	
68.11	53.4578	47.9924	9	10.8079	1559.65	0.0633488	1	1	-1	-1	0	0	0	
76.2292	53.7432	48.0924	8	15.2974	2081.51	0.0988193	1	1	-1	-1	0	0	0	
72.0942	54.7011	49.1594	11	14.3723	1941.78	0.0895904	1	1	-1	-1	0	0	0	
73.0505	53.5029	49.0897	11	18.6103	1853.49	0.0779652	1	1	-1	-1	0	0	0	
66.6004	55	48.89	12	15.0146	2845.44	0.0675666	1	1	-1	-1	0	0	0	
72.5579	54.7711	46.3272	11	19.6167	1907.37	0.0650908	1	1	-1	-1	0	0	0	
67.2363	54.3328	49.3119	10	19.8295	2419.77	0.0667745	1	1	-1	-1	0	0	0	
74.9969	52.8369	46.5656	7	19.4589	2554.99	0.0604376	1	1	-1	-1	0	0	0	
69.6871	53.5405	46.5968	8	19.1552	1814.14	0.0564852	1	1	-1	-1	0	0	0	
73.4095	55	47.9534	6	19.9445	2598.89	0.0749116	1	1	-1	-1	0	0	0	
73.7843	54.9293	45.9169	9	19.5427	1728.83	0.0729889	1	1	-1	-1	0	0	0	
72.4483	52.4978	45.5117	9	16.4886	2157.49	0.0640844	1	1	-1	-1	0	0	0	
67.7822	53.3559	48.4934	8	11.0363	1811.03	0.0531241	1	1	-1	-1	0	0	0	
68.3732	54.2716	48.3323	10	20	1870.94	0.0776589	1	1	-1	-1	0	0	0	
73.96	54.6152	48.0622	11	18.6138	1709.66	0.0669272	1	1	-1	-1	0	0	0	
74.881	54.5633	45.8507	6	12.153	1739.96	0.0594697	1	1	-1	-1	0	0	0	
73.1287	54.365	47.9142	6	19.1961	1834.01	0.0781817	1	1	-1	-1	0	0	0	
75.7763	54.5744	46.4779	8	19.0438	1705.06	0.0921896	1	1	-1	-1	0	0	0	
77.3568	54.1774	47.5408	5	11.062	1709.78	0.087961	1	1	-1	-1	0	0	0	
74.7504	52.8661	49.0621	9	12.0805	1992.22	0.0826339	1	1	-1	-1	0	0	0	
75.5375	53.1378	48.8656	10	10.3175	2581.72	0.0674526	1	1	-1	-1	0	0	0	
75.5832	52.2425	46.773	8	11.0523	2486.49	0.0754634	1	1	-1	-1	0	0	0	
72.7499	52.3325	47.4047	8	13.9455	1697.82	0.0629668	1	1	-1	-1	0	0	0	
71.8536	53.1362	49.6841	11	12.1259	2473.02	0.0777375	1	1	-1	-1	0	0	0	
73.3387	53.2573	49.6068	6	15.2851	2186.83	0.0851534	1	1	-1	-1	0	0	0	
73.4355	54.5348	49.5372	11	11.0544	2864.78	0.063407	1	1	-1	-1	0	0	0	
67.8489	53.2675	48.8354	10	14.5038	2762.8	0.0572509	1	1	-1	-1	0	0	0	
68.4762	52.9423	49.2243	6	11.5551	2750.05	0.0756612	1	1	-1	-1	0	0	0	
70.815	54.2516	45.5773	5	19.8811	2928.67	0.0670729	1	1	-1	-1	0	0	0	
67.7795	52.9926	49.0977	5	13.6345	1662.36	0.0863141	1	1	-1	-1	0	0	0	
66.6202	53.5924	48.3733	8	12.8423	1665.83	0.0702137	1	1	-1	-1	0	0	0	
70.6242	53.0021	49.2733	6	11.3637	2550.31	0.0808817	1	1	-1	-1	0	0	0	
71.8927	52.6404	48.1205	7	14.3971	2599.68	0.0876706	1	1	-1	-1	0	0	0	
74.8243	53.1163	47.6303	10	12.8535	2996.91	0.0612084	1	1	-1	-1	0	0	0	
67.1273	54.2404	48.9601	10	14.596	2119.63	0.0512667	1	1	-1	-1	0	0	0	
72.9364	52.6773	49.389	6	13.9717	2694.83	0.0588851	1	1	-1	-1	0	0	0	
76.2618	54.1963	48.7935	7	10.5749	1718.06	0.05	1	1	-1	-1	0	0	0	
72.6106	54.9303	47.7759	7	16.1256	2391.35	0.067131	1	1	-1	-1	0	0	0	
67.3843	54.1753	46.8956	7	20	1723.26	0.0848042	1	1	-1	-1	0	0	0	
65.6807	53.0018	48.0744	9	12.4311	2551.67	0.0556504	1	1	-1	-1	0	0	0	
71.1844	54.3071	47.8549	7	12.7213	2215.34	0.0580661	1	1	-1	-1	0	0	0	
77.6853	53.9971	47.0616	5	10.5245	2770.79	0.0971881	1	1	-1	-1	0	0	0	
75.6545	53.5649	47.3032	8	14.707	1686.01	0.0893893	1	1	-1	-1	0	0	0	
70.79	53.2866	47.4038	10	13.5391	2189.91	0.0764144	1	1	-1	-1	0	0	0	
70.0689	53.9513	47.9	4	11.2899	2401.88	0.0689881	1	1	-1	-1	0	0	0	
75.6357	53.0048	48.8387	9	14.2988	2901.2	0.0512667	1	1	-1	-1	0	0	0	
75.68	52.713	48.5984	9	15.2069	2550.31	0.0808817	1	1	-1	-1	0	0	0	
74.273	54.0317	46.6766	6	15.3394	2362.89	0.0924421	1	1	-1	-1	0	0	0	
68.6117	53.4828	48.901	9	16.7585	1995.99	0.0657152	1	1	-1	-1	0	0	0	
67.7201	54.0372	46.5528	5	19.4705	1914.5	0.0639064	1	1	-1	-1	0	0	0	
70.4189	53.8575	47.6527	9	10.5018	2285.55	0.0797885	1	1	-1	-1	0	0	0	
67.9385	53.9149	48.2973	10	15.8332	2349.34	0.0676293	1	1	-1	-1	0	0	0	
74.9957	52.8443	48.818	6	16.7628	2103.96	0.0757183	1	1	-1	-1	0	0	0	
72.8465	53.5864	46.4849	10	15.7642	2832.66	0.0683792	1	1	-1	-1	0	0	0	



#Generation 3 / 50
currentGen	3
evaluateCount	300
totalTime	11.7458
firstFrontCount	14
frontCount	6
avgEvalTime	0.0588217
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Obj1	Obj2	Obj3	Obj4	Cons1	Cons2	Cons3	
66.3123	52.1689	49.2812	4	15.8781	1658.81	0.0888497	-9.12319	-116.268	2.17641	1.90624	0	0	0	
74.881	54.9307	47.8773	5	19.9367	1728.83	0.0827098	-6.35767	-129.896	2.69332	1.59956	0	0	0	
67.7822	53.4616	48.957	5	16.4692	2330.44	0.0641603	-8.73246	-147.202	2.26559	1.97111	0	0	0	
67.0851	52.9743	49.48	5	11.4283	2599.68	0.0876706	-7.3072	-94.7581	1.57208	2.31267	0	0	0	
66.038	54.3406	49.8397	5	15.4121	2435.77	0.0702337	-9.9154	-164.465	2.13464	2.10063	0	0	0	
70.5594	52.6887	48.676	6	12.4041	2763.6	0.0700206	-6.24883	-97.2254	1.6961	2.05521	0	0	0	
70.7974	53.0018	48.8621	6	12.8761	2551.67	0.0525081	-6.52448	-102.939	1.76014	1.93566	0	0	0	
65.6129	52.1875	47.8373	4	13.4879	1644.76	0.0865908	-6.97222	-95.1683	1.84917	2.05905	0	0	0	
69.1682	52.7207	48.9317	5	12.2773	2613.23	0.08203	-6.41079	-87.8513	1.6796	2.29236	0	0	0	
69.6536	52	48.9797	4	10.731	2794.11	0.1	-5.12836	-54.5204	1.46181	3.03724	0	0	0	
71.1603	53.8666	48.8549	5	16.4692	1616.64	0.0674272	-7.34655	-119.262	2.23923	1.59827	0	0	0	
68.9778	52.3307	49.1011	5	15.3242	2568.79	0.0908441	-8.29938	-119.94	2.10035	2.05166	0	0	0	
71.416	54.0807	49.5826	5	16.0031	2435.77	0.0759973	-7.56916	-118.947	2.18261	2.01614	0	0	0	
68.0907	52.3668	48.9176	5	14.6577	1887.76	0.0766372	-8.29579	-118.524	2.00901	1.76313	0	0	0	
79.9801	53.764	49.8667	5	16.3738	2016.14	0.0531217	-5.73053	-80.6989	2.19278	1.81415	0	0	0	
70.8535	52.3942	49.0203	5	15.3606	2913.16	0.0992576	-7.55843	-108.852	2.09692	2.2078	0	0	0	
68.6566	52.8762	45.7523	5	15.5761	2923.77	0.076208	-5.30485	-115.546	2.13431	2.4194	0	0	0	
68.3762	52.2558	47.6554	5	15.7264	2565.38	0.0631099	-7.27998	-122.982	2.15729	2.10066	0	0	0	
70.1148	52.3811	46.1006	5	13.5494	2189.39	0.0773745	-4.24892	-84.8486	1.84613	2.14983	0	0	0	
68.6429	52.2558	47.6554	5	15.59	2653.47	0.0719463	-7.12386	-119.662	2.13731	2.14774	0	0	0	
68.4452	52.8151	47.4875	5	15.7425	2665.23	0.07103	-6.93305	-124.611	2.15981	2.18602	0	0	0	
73.1305	52.0124	48.0142	4	15.6643	1837.97	0.0882407	-5.87092	-76.1151	2.11839	2.06711	0	0	0	
78.9358	54.3047	49.5979	5	15.0405	2126.07	0.0581591	-4.72074	-73.0867	2.01738	2.00764	0	0	0	
70.7278	52.395	49.4746	4	14.2339	2732.83	0.0888556	-7.0544	-79.9759	1.93818	2.61503	0	0	0	
72.5567	52.0303	46.116	5	13.8418	2004.25	0.0963838	-3.83048	-74.805	1.87532	2.04968	0	0	0	
68.4295	52.2898	48.7189	5	11.5551	2672.06	0.0686406	-6.23387	-82.6491	1.58267	2.36641	0	0	0	
71.3467	52.1162	48.4463	5	13.246	2442.7	0.0832025	-5.99745	-83.1488	1.80292	2.15235	0	0	0	
70.7321	52.896	48.9567	5	13.5075	2644.64	0.0502052	-6.46875	-92.1465	1.84251	2.2348	0	0	0	
67.0851	54.5581	48.4584	5	16.0193	2698.52	0.0857035	-8.15586	-156.201	2.21112	2.25849	0	0	0	
68.8981	52.7689	46.6172	5	12.7096	2836.09	0.0790261	-4.40515	-86.1598	1.7383	2.54683	0	0	0	
73.788	52.6403	48.8629	5	16.6601	2523.82	0.0544139	-6.99814	-105.763	2.26035	1.98811	0	0	0	
74.0679	52.2522	49.0395	4	20	2184.65	0.0882407	-7.79343	-107.651	2.70748	2.0205	0	0	0	
74.3637	52.8557	47.8442	5	15.8496	2256.74	0.0761701	-5.50179	-92.2523	2.14502	1.98011	0	0	0	
73.8542	53.7578	48.3185	5	13.5494	2154.05	0.0755968	-4.39774	-76.2682	1.83331	2.11819	0	0	0	
75.1964	52.928	47.3801	5	15.0405	2161.41	0.0599368	-4.4278	-79.6342	2.03048	2.03778	0	0	0	
72.4311	52.031	46.5703	4	13.2741	1823.92	0.0859819	-3.49195	-56.8772	1.79468	2.37104	0	0	0	
75.6333	53.392	47.0717	5	15.8976	2311.18	0.0903953	-4.29024	-84.9928	2.14574	2.09708	0	0	0	
74.6207	52.8762	49.2023	4	15.6008	2152.93	0.0626351	-6.14393	-74.796	2.10732	2.25134	0	0	0	
76.779	54.2516	49.0274	4	19.9059	2157.83	0.0535	-6.45581	-98.6492	2.6809	2.10074	0	0	0	
75.1813	53.8037	47.3557	5	15.8718	2487.41	0.0660118	-4.45126	-88.5053	2.1451	2.18539	0	0	0	
74.9443	52.8369	46.5656	4	19.4695	2453.17	0.0585523	-5.22965	-94.046	2.63099	2.35153	0	0	0	
70.2526	52.2495	47.0557	4	12.3054	1994.45	0.0848093	-3.84088	-59.4565	1.67122	2.51835	0	0	0	
72.2227	53.2835	47.4739	4	14.3306	1785.92	0.0655018	-4.37253	-69.5172	1.93897	2.22658	0	0	0	
